,latitude,longitude,city,state,status,population,county,countyfips,country
5836,33.776635033,-118.119078579,LONG BEACH,CA,OPEN,-999,LOS ANGELES,06037,USA
6485,38.288073866,-122.465010195,SONOMA,CA,OPEN,75,SONOMA,06097,USA
6486,34.640910994,-120.439532368,LOMPOC,CA,OPEN,60,SANTA BARBARA,06083,USA
6487,34.4441368990001,-119.780633298,SANTA BARBARA,CA,OPEN,16,SANTA BARBARA,06083,USA
6488,37.801583018,-121.196916878,MANTECA,CA,OPEN,73,SAN JOAQUIN,06077,USA
6489,34.0713694450001,-117.944903005,WEST COVINA,CA,OPEN,46,LOS ANGELES,06037,USA
6490,34.127487128,-117.865137942,GLENDORA,CA,OPEN,128,LOS ANGELES,06037,USA
6493,33.9117287980001,-118.352043939,HAWTHORNE,CA,OPEN,64,LOS ANGELES,06037,USA
6494,33.982161622,-118.43923224,MARINA DEL REY,CA,OPEN,145,LOS ANGELES,06037,USA
6495,34.240098335,-118.396362905,SUN VALLEY,CA,OPEN,231,LOS ANGELES,06037,USA
6496,33.7501697020001,-116.960185448,HEMET,CA,OPEN,327,RIVERSIDE,06065,USA
6497,33.9318207480001,-116.946102155,BANNING,CA,OPEN,71,RIVERSIDE,06065,USA
6498,37.785828768,-122.422249606,SAN FRANCISCO,CA,OPEN,-999,SAN FRANCISCO,06075,USA
6499,36.1524711170001,-120.340684029,COALINGA,CA,OPEN,123,FRESNO,06019,USA
6500,38.0067980110001,-122.132814786,MARTINEZ,CA,OPEN,167,CONTRA COSTA,06013,USA
6501,38.55719537,-121.460876955,SACRAMENTO,CA,OPEN,50,SACRAMENTO,06067,USA
6502,38.5718698530001,-121.472516826,SACRAMENTO,CA,OPEN,100,SACRAMENTO,06067,USA
6503,33.6634442060001,-117.922803056,COSTA MESA,CA,OPEN,1218,ORANGE,06059,USA
6530,34.1037143080001,-117.566293783,RANCHO CUCAMONGA,CA,OPEN,55,SAN BERNARDINO,06071,USA
6531,32.617494005,-117.071712131,CHULA VISTA,CA,OPEN,64,SAN DIEGO,06073,USA
6532,37.756575615,-122.405762115,SAN FRANCISCO,CA,OPEN,375,SAN FRANCISCO,06075,USA
6645,33.2213161,-117.3888045,OCEANSIDE,CA,OPEN,-999,SAN DIEGO,06073,USA
6666,34.227066467,-116.04879378,TWENTYNINE PALMS,CA,OPEN,-999,SAN BERNARDINO,06071,USA
6668,37.36231615,-121.848924454,SAN JOSE,CA,OPEN,249,SANTA CLARA,06085,USA
6671,39.138004993,-121.593912483,MARYSVILLE,CA,OPEN,173,YUBA,06115,USA
6674,33.480797593,-117.106030737,TEMECULA,CA,OPEN,140,RIVERSIDE,06065,USA
6913,33.8049209280001,-118.150736858,LONG BEACH,CA,OPEN,-999,LOS ANGELES,06037,USA
6914,40.1747476080001,-122.24244891,RED BLUFF,CA,OPEN,-999,TEHAMA,06103,USA
7513,32.8303178940001,-117.125223195,SAN DIEGO,CA,OPEN,-999,SAN DIEGO,06073,USA
