,longitude,latitude
0,-124.408601,40.443200999999995
1,-124.396642,40.462119
2,-124.38494,40.48982
3,-124.383224,40.499852
4,-124.387023,40.504954
5,-124.38281599999999,40.519000000000005
6,-124.379096,40.522864999999996
7,-124.363545,40.548698
8,-124.329404,40.61643
9,-124.315141,40.639526
10,-124.312558,40.641332999999996
11,-124.289119,40.679629999999996
12,-124.248406,40.735166
13,-124.228244,40.76939
14,-124.201921,40.805111
15,-124.176715,40.843618
16,-124.158322,40.876069
17,-124.137066,40.925731999999996
18,-124.118147,40.989263
19,-124.112165,41.028172999999995
20,-124.125448,41.048504
21,-124.132946,41.052482
22,-124.138217,41.054342
23,-124.142867,41.054032
24,-124.147216,41.052884
25,-124.148939,41.051466999999995
26,-124.15126599999999,41.051100999999996
27,-124.153622,41.05355
28,-124.154028,41.059923
29,-124.154513,41.087159
30,-124.160556,41.099011
31,-124.159065,41.121956999999995
32,-124.165414,41.129822
33,-124.163988,41.138675
34,-124.15853899999999,41.143021
35,-124.149674,41.140845
36,-124.14380000000001,41.144686
37,-124.122677,41.189726
38,-124.106986,41.229678
39,-124.10638900000001,41.240682
40,-124.092284,41.287695
41,-124.079015,41.347135
42,-124.072294,41.374843999999996
43,-124.063076,41.439578999999995
44,-124.065520778075,41.4647394651375
45,-124.066057,41.470258
46,-124.075917,41.501757
47,-124.08142699999999,41.511227999999996
48,-124.081987,41.547761
49,-124.092404,41.553615
50,-124.101123,41.569192
51,-124.101403,41.578524
52,-124.097385,41.585251
53,-124.100961,41.602498999999995
54,-124.114413,41.616768
55,-124.116037,41.628848999999995
56,-124.120225,41.640353999999995
57,-124.135552,41.657306999999996
58,-124.139354,41.671651999999995
59,-124.138373,41.678881
60,-124.143479,41.709284
61,-124.147412,41.717954999999996
62,-124.154246,41.728801
63,-124.164716,41.740126
64,-124.17739,41.745756
65,-124.185363,41.739351
66,-124.19104,41.736079
67,-124.194953,41.736778
68,-124.203843,41.747035
69,-124.23972,41.7708
70,-124.242288,41.772034
71,-124.248704,41.771459
72,-124.255994,41.783014
73,-124.245027,41.792300000000004
74,-124.230678,41.818681
75,-124.219592,41.846432
76,-124.208439,41.888192
77,-124.203402,41.940964
78,-124.204948,41.983441
79,-124.21160499999999,41.99846
80,-124.126194,41.996992
81,-124.100921,41.996956
82,-124.100216,41.996842
83,-124.087827,41.996891
84,-124.08666099999999,41.996869
85,-124.001188,41.996145999999996
86,-123.834208,41.996116
87,-123.822044941707,41.995501925998596
88,-123.821472,41.995473
89,-123.813992,41.995096
90,-123.789295,41.996111
91,-123.728156,41.997006999999996
92,-123.721429255526,41.996830224202895
93,-123.656998,41.995137
94,-123.624554,41.999837
95,-123.55256,42.000246
