,latitude,longitude,city,state,status,population,county,countyfips,country
273,34.062029841,-118.2013106,LOS ANGELES,CA,OPEN,401,Los Angeles,6037,USA
274,34.0072994830001,-118.26621008,LOS ANGELES,CA,OPEN,72,Los Angeles,6037,USA
275,34.1344874600001,-118.041711746,ARCADIA,CA,OPEN,400,Los Angeles,6037,USA
276,34.2204145640001,-118.45666936,PANORAMA CITY,CA,OPEN,145,Los Angeles,6037,USA
277,33.7384230700001,-118.305004358,SAN PEDRO,CA,OPEN,231,Los Angeles,6037,USA
278,33.838492902,-118.357297244,TORRANCE,CA,OPEN,327,Los Angeles,6037,USA
279,34.1570435290001,-118.328869108,BURBANK,CA,OPEN,446,Los Angeles,6037,USA
280,34.0308259510001,-118.47945038,SANTA MONICA,CA,OPEN,266,Los Angeles,6037,USA
281,34.0638715590001,-118.27361447,LOS ANGELES,CA,OPEN,366,Los Angeles,6037,USA
305,33.739018233,-118.306273762,SAN PEDRO,CA,OPEN,125,Los Angeles,6037,USA
307,33.9226370650001,-118.243801279,LOS ANGELES,CA,OPEN,131,Los Angeles,6037,USA
326,33.950444428,-118.348235992,INGLEWOOD,CA,OPEN,369,Los Angeles,6037,USA
327,33.8843352660001,-118.102946703,CERRITOS,CA,OPEN,187,Los Angeles,6037,USA
328,34.0480352820001,-118.043294865,SOUTH EL MONTE,CA,OPEN,117,Los Angeles,6037,USA
329,34.0595615890001,-118.208356609,LOS ANGELES,CA,OPEN,676,Los Angeles,6037,USA
330,34.066554382,-118.446625067,LOS ANGELES,CA,OPEN,466,Los Angeles,6037,USA
338,37.362061872,-118.406239766,BISHOP,CA,OPEN,25,Inyo,6027,USA
347,32.780434681,-115.568728255,EL CENTRO,CA,OPEN,161,Imperial,6025,USA
348,32.9590929730001,-115.55379865,BRAWLEY,CA,OPEN,107,Imperial,6025,USA
357,39.1151520810001,-121.341588281,BEALE AFB,CA,OPEN,-999,Yuba,6115,USA
370,34.6882689760001,-118.158826024,LANCASTER,CA,OPEN,420,Los Angeles,6037,USA
371,34.09980534,-117.86647858,COVINA,CA,OPEN,134,Los Angeles,6037,USA
372,33.8102699890001,-118.34351745,TORRANCE,CA,OPEN,156,Los Angeles,6037,USA
373,34.157227103,-118.48702421,ENCINO,CA,OPEN,148,Los Angeles,6037,USA
374,34.0964510210001,-118.290470453,LOS ANGELES,CA,OPEN,434,Los Angeles,6037,USA
375,34.0871916,-117.917251206,WEST COVINA,CA,OPEN,76,Los Angeles,6037,USA
376,33.8304737710001,-118.291713809,TORRANCE,CA,OPEN,453,Los Angeles,6037,USA
382,39.3251073810001,-120.200773315,TRUCKEE,CA,OPEN,72,Nevada,6057,USA
391,34.0231795170001,-118.396989428,CULVER CITY,CA,OPEN,420,Los Angeles,6037,USA
395,34.2443863890001,-118.482041825,LOS ANGELES,CA,OPEN,-999,Los Angeles,6037,USA
402,40.1484949840001,-122.219052506,RED BLUFF,CA,OPEN,76,Tehama,6103,USA
440,34.0609925690001,-117.790635934,POMONA,CA,OPEN,50,Los Angeles,6037,USA
441,34.0373537720001,-118.265976066,LOS ANGELES,CA,OPEN,318,Los Angeles,6037,USA
442,34.0980933070001,-117.747275628,POMONA,CA,OPEN,68,Los Angeles,6037,USA
443,33.3392040410001,-118.330705123,AVALON,CA,OPEN,12,Los Angeles,6037,USA
444,34.076294454,-118.380712116,LOS ANGELES,CA,OPEN,886,Los Angeles,6037,USA
445,34.0976301380001,-118.291037592,LOS ANGELES,CA,OPEN,495,Los Angeles,6037,USA
446,34.088309221,-117.893021582,COVINA,CA,OPEN,193,Los Angeles,6037,USA
447,34.0634630820001,-117.945666023,WEST COVINA,CA,OPEN,325,Los Angeles,6037,USA
448,34.0546744050001,-118.26515847,LOS ANGELES,CA,OPEN,408,Los Angeles,6037,USA
449,34.3977269440001,-118.553878592,VALENCIA,CA,OPEN,238,Los Angeles,6037,USA
450,34.1343853610001,-118.152983944,PASADENA,CA,OPEN,625,Los Angeles,6037,USA
451,34.2005459910001,-118.553148029,RESEDA,CA,OPEN,249,Los Angeles,6037,USA
452,33.7885952670001,-118.295982663,HARBOR CITY,CA,OPEN,325,Los Angeles,6037,USA
453,34.1703945030001,-118.589687223,WOODLAND HILLS,CA,OPEN,262,Los Angeles,6037,USA
454,33.916364242,-118.013353911,LA MIRADA,CA,OPEN,118,Los Angeles,6037,USA
455,33.9901305930001,-118.378451111,LOS ANGELES,CA,OPEN,81,Los Angeles,6037,USA
456,33.8081953700001,-118.186929867,LONG BEACH,CA,OPEN,458,Los Angeles,6037,USA
457,34.219824929,-118.533068188,NORTHRIDGE,CA,OPEN,417,Los Angeles,6037,USA
